Category,Endpoint,Method,Description,Request Body,Response,Authentication,Role Required,Status Codes,Notes
Users,/api/users/:id,GET,Get user by ID (public info),None,"{""id"": 1, ""username"": ""user1"", ""fullName"": ""John Doe"", ""avatar"": ""url"", ""isOnline"": true, ""lastLogin"": ""datetime""}",None,None,"200: Success, 404: User not found",Public profile info only
Users,/api/users/search,GET,Search users,Query: ?q=keyword&limit=20&offset=0,"{""users"": [{""id"": 1, ""username"": ""user1"", ""fullName"": ""John Doe"", ""avatar"": ""url""}], ""total"": 50, ""hasMore"": true}",Bearer Token,Any,"200: Success, 401: Unauthorized",Search by username or fullName

Courses,/api/courses,GET,Get all courses with filters,"Query: ?category=1&level=2&isFree=true&search=math&limit=20&offset=0&sortBy=rating&sortOrder=desc","{""courses"": [{""id"": 1, ""title"": ""Course Title"", ""description"": ""Description"", ""thumbnail"": ""url"", ""instructorId"": 1, ""instructor"": {""name"": ""John Doe"", ""avatar"": ""url""}, ""categoryId"": 1, ""category"": {""name"": ""Math""}, ""level"": 1, ""isFree"": true, ""price"": 0, ""rating"": 4.5, ""totalReviews"": 100, ""totalStudents"": 500, ""totalLessons"": 20, ""isPublished"": true}], ""total"": 50, ""hasMore"": true}",None,None,"200: Success, 400: Invalid parameters",Support pagination and filtering
Courses,/api/courses/:id,GET,Get course details,None,"{""id"": 1, ""title"": ""Course Title"", ""description"": ""Description"", ""thumbnail"": ""url"", ""instructorId"": 1, ""instructor"": {""id"": 1, ""name"": ""John Doe"", ""avatar"": ""url"", ""bio"": ""Instructor bio""}, ""categoryId"": 1, ""category"": {""name"": ""Math""}, ""level"": 1, ""isFree"": true, ""price"": 0, ""rating"": 4.5, ""totalReviews"": 100, ""totalStudents"": 500, ""lessons"": [{""id"": 1, ""title"": ""Lesson 1"", ""description"": ""Lesson desc"", ""videoUrl"": ""url"", ""videoDuration"": 1800, ""lessonOrder"": 1, ""isPublished"": true}], ""isEnrolled"": false, ""createdAt"": ""datetime"", ""updatedAt"": ""datetime""}",Optional Bearer Token,None,"200: Success, 404: Course not found",Include enrollment status if authenticated
Courses,/api/courses,POST,Create new course,"{""title"": ""string"", ""description"": ""string"", ""thumbnail"": ""string"", ""categoryId"": ""int"", ""level"": ""int"", ""isFree"": ""boolean"", ""price"": ""decimal"", ""staticPagePath"": ""string""}","{""success"": true, ""course"": {""id"": 1, ""title"": ""Course Title"", ""approvalStatus"": ""draft""}}",Bearer Token,Instructor/Admin,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Set approval status to draft
Courses,/api/courses/:id,PUT,Update course,"{""title"": ""string"", ""description"": ""string"", ""thumbnail"": ""string"", ""categoryId"": ""int"", ""level"": ""int"", ""isFree"": ""boolean"", ""price"": ""decimal""}","{""success"": true, ""course"": {""updated_course_data""}}",Bearer Token,Instructor/Admin,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Course not found",Only course owner or admin can update
Courses,/api/courses/:id,DELETE,Delete course,None,"{""success"": true, ""message"": ""Course deleted successfully""}",Bearer Token,Instructor/Admin,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Course not found",Soft delete - set IsActive to false
Courses,/api/courses/:id/submit,PUT,Submit course for review,None,"{""success"": true, ""message"": ""Course submitted for review"", ""approvalStatus"": ""pending""}",Bearer Token,Instructor,"200: Success, 400: Course not ready, 401: Unauthorized, 403: Forbidden, 404: Course not found",Change approval status to pending
Courses,/api/courses/:id/enroll,POST,Enroll in course,None,"{""success"": true, ""enrollment"": {""id"": 1, ""courseId"": 1, ""userId"": 1, ""enrolledAt"": ""datetime"", ""progressPercentage"": 0}}",Bearer Token,Student,"201: Created, 400: Already enrolled, 401: Unauthorized, 402: Payment required, 404: Course not found",Check if course is free or payment required
Courses,/api/courses/:id/unenroll,DELETE,Unenroll from course,None,"{""success"": true, ""message"": ""Unenrolled successfully""}",Bearer Token,Student,"200: Success, 401: Unauthorized, 404: Enrollment not found",Set enrollment IsActive to false
Courses,/api/courses/my-courses,GET,Get user's enrolled courses,Query: ?status=active&limit=20&offset=0,"{""enrollments"": [{""id"": 1, ""course"": {""course_data""}, ""enrolledAt"": ""datetime"", ""progressPercentage"": 75, ""completedAt"": null, ""isActive"": true}], ""total"": 10, ""hasMore"": false}",Bearer Token,Student,"200: Success, 401: Unauthorized",Include progress information

Lessons,/api/courses/:courseId/lessons,GET,Get course lessons,None,"{""lessons"": [{""id"": 1, ""title"": ""Lesson Title"", ""description"": ""Description"", ""videoUrl"": ""url"", ""videoDuration"": 1800, ""contentText"": ""Content"", ""lessonOrder"": 1, ""isPublished"": true, ""materials"": [{""id"": 1, ""title"": ""Material"", ""filePath"": ""url"", ""fileType"": ""pdf""}]}]}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not enrolled, 404: Course not found",Check enrollment before access
Lessons,/api/lessons/:id,GET,Get lesson details,None,"{""id"": 1, ""courseId"": 1, ""title"": ""Lesson Title"", ""description"": ""Description"", ""videoUrl"": ""url"", ""videoDuration"": 1800, ""contentText"": ""Content"", ""lessonOrder"": 1, ""isPublished"": true, ""materials"": [], ""assignments"": [], ""userProgress"": {""isCompleted"": false, ""watchTime"": 900, ""lastAccessed"": ""datetime""}}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not enrolled, 404: Lesson not found",Include user progress if enrolled
Lessons,/api/lessons,POST,Create new lesson,"{""courseId"": ""int"", ""title"": ""string"", ""description"": ""string"", ""videoUrl"": ""string"", ""videoDuration"": ""int"", ""contentText"": ""string"", ""lessonOrder"": ""int"", ""staticPagePath"": ""string""}","{""success"": true, ""lesson"": {""id"": 1, ""title"": ""Lesson Title""}}",Bearer Token,Instructor,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Only course owner can create lessons
Lessons,/api/lessons/:id,PUT,Update lesson,"{""title"": ""string"", ""description"": ""string"", ""videoUrl"": ""string"", ""videoDuration"": ""int"", ""contentText"": ""string"", ""lessonOrder"": ""int"", ""isPublished"": ""boolean""}","{""success"": true, ""lesson"": {""updated_lesson_data""}}",Bearer Token,Instructor,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Lesson not found",Only course owner can update
Lessons,/api/lessons/:id,DELETE,Delete lesson,None,"{""success"": true, ""message"": ""Lesson deleted successfully""}",Bearer Token,Instructor,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Lesson not found",Cascade delete assignments and materials
Lessons,/api/lessons/:id/progress,POST,Update lesson progress,"{""watchTime"": ""int"", ""isCompleted"": ""boolean"", ""videoPosition"": ""int""}","{""success"": true, ""progress"": {""watchTime"": 1800, ""isCompleted"": true, ""completedAt"": ""datetime""}}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not enrolled, 404: Lesson not found",Update user progress and course progress percentage

Assignments,/api/assignments,GET,Get assignments with filters,Query: ?courseId=1&lessonId=1&type=1&isPublished=true&limit=20&offset=0,"{""assignments"": [{""id"": 1, ""title"": ""Assignment Title"", ""description"": ""Description"", ""courseId"": 1, ""lessonId"": 1, ""assignmentType"": 1, ""maxScore"": 10, ""timeLimit"": 3600, ""maxAttempts"": 3, ""dueDate"": ""datetime"", ""isPublished"": true, ""totalQuestions"": 10}], ""total"": 5, ""hasMore"": false}",Bearer Token,Student,"200: Success, 401: Unauthorized",Filter by course/lesson if provided
Assignments,/api/assignments/:id,GET,Get assignment details,None,"{""id"": 1, ""title"": ""Assignment Title"", ""description"": ""Description"", ""courseId"": 1, ""lessonId"": 1, ""assignmentType"": 1, ""maxScore"": 10, ""timeLimit"": 3600, ""maxAttempts"": 3, ""showAnswersAfter"": 1, ""dueDate"": ""datetime"", ""isPublished"": true, ""questions"": [{""id"": 1, ""questionContent"": ""Question text"", ""questionType"": 1, ""difficultyLevel"": 1, ""points"": [0.25], ""options"": [{""id"": 1, ""optionContent"": ""Option A"", ""isCorrect"": true}]}], ""userAttempts"": 2, ""bestScore"": 8.5}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not enrolled, 404: Assignment not found",Include user attempts if any
Assignments,/api/assignments,POST,Create new assignment,"{""title"": ""string"", ""description"": ""string"", ""lessonId"": ""int"", ""assignmentType"": ""int"", ""maxScore"": ""int"", ""timeLimit"": ""int"", ""maxAttempts"": ""int"", ""showAnswersAfter"": ""int"", ""dueDate"": ""datetime"", ""isPublished"": ""boolean""}","{""success"": true, ""assignment"": {""id"": 1, ""title"": ""Assignment Title""}}",Bearer Token,Instructor,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Only course owner can create assignments
Assignments,/api/assignments/:id,PUT,Update assignment,"{""title"": ""string"", ""description"": ""string"", ""assignmentType"": ""int"", ""maxScore"": ""int"", ""timeLimit"": ""int"", ""maxAttempts"": ""int"", ""showAnswersAfter"": ""int"", ""dueDate"": ""datetime"", ""isPublished"": ""boolean""}","{""success"": true, ""assignment"": {""updated_assignment_data""}}",Bearer Token,Instructor,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Assignment not found",Only assignment owner can update
Assignments,/api/assignments/:id,DELETE,Delete assignment,None,"{""success"": true, ""message"": ""Assignment deleted successfully""}",Bearer Token,Instructor,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Assignment not found",Cascade delete questions and attempts
Assignments,/api/assignments/:id/start,POST,Start assignment attempt,None,"{""success"": true, ""attempt"": {""id"": 1, ""assignmentId"": 1, ""userId"": 1, ""attemptNumber"": 1, ""startedAt"": ""datetime"", ""timeRemaining"": 3600}}",Bearer Token,Student,"201: Created, 400: Max attempts reached, 401: Unauthorized, 403: Not enrolled, 404: Assignment not found",Check attempt limits and enrollment
Assignments,/api/assignments/:id/submit,POST,Submit assignment attempt,"{""attemptId"": ""int"", ""answers"": [{""questionId"": 1, ""optionId"": 1, ""answerText"": ""text""}]}","{""success"": true, ""attempt"": {""id"": 1, ""score"": 8.5, ""isCompleted"": true, ""submittedAt"": ""datetime"", ""timeSpent"": 1800, ""answers"": [{""questionId"": 1, ""isCorrect"": true, ""pointsEarned"": 0.25}]}}",Bearer Token,Student,"200: Success, 400: Invalid attempt, 401: Unauthorized, 404: Assignment/Attempt not found",Auto-grade and calculate score
Assignments,/api/assignments/:id/attempts,GET,Get user attempts for assignment,None,"{""attempts"": [{""id"": 1, ""attemptNumber"": 1, ""startedAt"": ""datetime"", ""submittedAt"": ""datetime"", ""score"": 8.5, ""isCompleted"": true, ""timeSpent"": 1800}]}",Bearer Token,Student,"200: Success, 401: Unauthorized, 404: Assignment not found",Show user's own attempts only

Questions,/api/assignments/:assignmentId/questions,GET,Get assignment questions,None,"{""questions"": [{""id"": 1, ""questionContent"": ""Question text"", ""questionType"": 1, ""difficultyLevel"": 1, ""points"": [0.25], ""questionImage"": ""url"", ""options"": [{""id"": 1, ""optionContent"": ""Option A"", ""orderIndex"": 1}]}]}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not enrolled, 404: Assignment not found",Don't include correct answers until after submission
Questions,/api/questions,POST,Create new question,"{""assignmentId"": ""int"", ""questionContent"": ""string"", ""questionType"": ""int"", ""difficultyLevel"": ""int"", ""points"": [0.25], ""explanationContent"": ""string"", ""questionImage"": ""string"", ""options"": [{""optionContent"": ""string"", ""isCorrect"": ""boolean"", ""orderIndex"": ""int""}]}","{""success"": true, ""question"": {""id"": 1, ""questionContent"": ""Question text""}}",Bearer Token,Instructor,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Only assignment owner can create questions
Questions,/api/questions/:id,PUT,Update question,"{""questionContent"": ""string"", ""questionType"": ""int"", ""difficultyLevel"": ""int"", ""points"": [0.25], ""explanationContent"": ""string"", ""questionImage"": ""string""}","{""success"": true, ""question"": {""updated_question_data""}}",Bearer Token,Instructor,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Question not found",Only question owner can update
Questions,/api/questions/:id,DELETE,Delete question,None,"{""success"": true, ""message"": ""Question deleted successfully""}",Bearer Token,Instructor,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Question not found",Cascade delete options and answers
Questions,/api/questions/:id/options,POST,Add question option,"{""optionContent"": ""string"", ""isCorrect"": ""boolean"", ""orderIndex"": ""int"", ""optionImage"": ""string"", ""pointsValue"": ""decimal"", ""explanationText"": ""string""}","{""success"": true, ""option"": {""id"": 1, ""optionContent"": ""Option text""}}",Bearer Token,Instructor,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Only question owner can add options
Questions,/api/questions/:questionId/options/:optionId,PUT,Update question option,"{""optionContent"": ""string"", ""isCorrect"": ""boolean"", ""orderIndex"": ""int"", ""optionImage"": ""string"", ""pointsValue"": ""decimal"", ""explanationText"": ""string""}","{""success"": true, ""option"": {""updated_option_data""}}",Bearer Token,Instructor,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Option not found",Only question owner can update options
Questions,/api/questions/:questionId/options/:optionId,DELETE,Delete question option,None,"{""success"": true, ""message"": ""Option deleted successfully""}",Bearer Token,Instructor,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Option not found",Ensure at least one option remains

Books,/api/books,GET,Get all books with filters,Query: ?category=1&search=math&limit=20&offset=0&sortBy=price&sortOrder=asc,"{""books"": [{""id"": 1, ""title"": ""Book Title"", ""description"": ""Description"", ""authorId"": 1, ""author"": {""name"": ""Author Name""}, ""isbn"": ""978-0123456789"", ""coverImage"": ""url"", ""price"": 299000, ""categoryId"": 1, ""category"": {""name"": ""Math""}, ""totalQuestions"": 500, ""isActive"": true, ""rating"": 4.3, ""totalReviews"": 50}], ""total"": 20, ""hasMore"": true}",None,None,"200: Success, 400: Invalid parameters",Public endpoint with filtering
Books,/api/books/:id,GET,Get book details,None,"{""id"": 1, ""title"": ""Book Title"", ""description"": ""Description"", ""authorId"": 1, ""author"": {""id"": 1, ""name"": ""Author Name"", ""bio"": ""Author bio""}, ""isbn"": ""978-0123456789"", ""coverImage"": ""url"", ""price"": 299000, ""categoryId"": 1, ""category"": {""name"": ""Math""}, ""totalQuestions"": 500, ""isActive"": true, ""chapters"": [{""id"": 1, ""title"": ""Chapter 1"", ""description"": ""Chapter desc"", ""orderIndex"": 1}], ""isOwned"": false, ""createdAt"": ""datetime""}",Optional Bearer Token,None,"200: Success, 404: Book not found",Include ownership status if authenticated
Books,/api/books,POST,Create new book,"{""title"": ""string"", ""description"": ""string"", ""isbn"": ""string"", ""coverImage"": ""string"", ""price"": ""decimal"", ""categoryId"": ""int"", ""ebookFile"": ""string"", ""staticPagePath"": ""string""}","{""success"": true, ""book"": {""id"": 1, ""title"": ""Book Title"", ""approvalStatus"": ""draft""}}",Bearer Token,Instructor/Admin,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Set approval status to draft
Books,/api/books/:id,PUT,Update book,"{""title"": ""string"", ""description"": ""string"", ""coverImage"": ""string"", ""price"": ""decimal"", ""categoryId"": ""int"", ""ebookFile"": ""string""}","{""success"": true, ""book"": {""updated_book_data""}}",Bearer Token,Instructor/Admin,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Book not found",Only book owner or admin can update
Books,/api/books/:id,DELETE,Delete book,None,"{""success"": true, ""message"": ""Book deleted successfully""}",Bearer Token,Instructor/Admin,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Book not found",Soft delete - set IsActive to false
Books,/api/books/activate,POST,Activate book with code,"{""activationCode"": ""string"", ""questionId"": ""string""}","{""success"": true, ""userBook"": {""id"": 1, ""bookId"": 1, ""book"": {""title"": ""Book Title""}, ""expiresAt"": ""datetime"", ""isActive"": true}, ""accessUrl"": ""url""}",Bearer Token,Student,"200: Success, 400: Invalid/used code, 401: Unauthorized, 404: Code not found",Mark code as used and create UserBook record
Books,/api/books/my-books,GET,Get user's activated books,Query: ?limit=20&offset=0,"{""userBooks"": [{""id"": 1, ""book"": {""book_data""}, ""activatedAt"": ""datetime"", ""expiresAt"": ""datetime"", ""isActive"": true}], ""total"": 5, ""hasMore"": false}",Bearer Token,Student,"200: Success, 401: Unauthorized",Show user's owned books only
Books,/api/books/:id/chapters,GET,Get book chapters,None,"{""chapters"": [{""id"": 1, ""title"": ""Chapter Title"", ""description"": ""Description"", ""orderIndex"": 1, ""questionCount"": 25}]}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Book not owned, 404: Book not found",Check book ownership
Books,/api/books/:bookId/chapters/:chapterId/questions,GET,Get chapter questions,Query: ?limit=20&offset=0,"{""questions"": [{""id"": 1, ""questionImage"": ""url"", ""difficultyLevel"": 1, ""questionType"": 1, ""correctAnswer"": ""A"", ""answerListImage"": ""url"", ""explanationImage"": ""url"", ""videoUrl"": ""url""}], ""total"": 25, ""hasMore"": true}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Book not owned, 404: Chapter not found",Include solutions for owned books

Live Classes,/api/live-classes,GET,Get live classes with filters,Query: ?courseId=1&status=1&upcoming=true&limit=20&offset=0,"{""liveClasses"": [{""id"": 1, ""courseId"": 1, ""course"": {""title"": ""Course Title""}, ""instructorId"": 1, ""instructor"": {""name"": ""Instructor Name""}, ""title"": ""Live Class Title"", ""description"": ""Description"", ""scheduledAt"": ""datetime"", ""durationMinutes"": 60, ""maxParticipants"": 100, ""status"": 1, ""attendeeCount"": 45, ""meetingUrl"": ""url""}], ""total"": 10, ""hasMore"": false}",Bearer Token,Student,"200: Success, 401: Unauthorized",Filter by enrollment if courseId provided
Live Classes,/api/live-classes/:id,GET,Get live class details,None,"{""id"": 1, ""courseId"": 1, ""instructorId"": 1, ""title"": ""Live Class Title"", ""description"": ""Description"", ""meetingUrl"": ""url"", ""meetingId"": ""meeting123"", ""meetingPassword"": ""password"", ""scheduledAt"": ""datetime"", ""durationMinutes"": 60, ""maxParticipants"": 100, ""status"": 1, ""recordingUrl"": ""url"", ""recordingStatus"": 3, ""attendeeCount"": 45, ""isJoined"": false}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not enrolled, 404: Live class not found",Include join status and meeting details
Live Classes,/api/live-classes,POST,Create new live class,"{""courseId"": ""int"", ""title"": ""string"", ""description"": ""string"", ""scheduledAt"": ""datetime"", ""durationMinutes"": ""int"", ""maxParticipants"": ""int"", ""meetingUrl"": ""string"", ""meetingId"": ""string"", ""meetingPassword"": ""string""}","{""success"": true, ""liveClass"": {""id"": 1, ""title"": ""Live Class Title""}}",Bearer Token,Instructor,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Only course owner can create live classes
Live Classes,/api/live-classes/:id,PUT,Update live class,"{""title"": ""string"", ""description"": ""string"", ""scheduledAt"": ""datetime"", ""durationMinutes"": ""int"", ""maxParticipants"": ""int"", ""status"": ""int""}","{""success"": true, ""liveClass"": {""updated_live_class_data""}}",Bearer Token,Instructor,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Live class not found",Only class owner can update
Live Classes,/api/live-classes/:id,DELETE,Delete live class,None,"{""success"": true, ""message"": ""Live class deleted successfully""}",Bearer Token,Instructor,"200: Success, 401: Unauthorized, 403: Forbidden, 404: Live class not found",Only if no participants joined
Live Classes,/api/live-classes/:id/join,POST,Join live class,None,"{""success"": true, ""participant"": {""id"": 1, ""liveClassId"": 1, ""userId"": 1, ""joinedAt"": ""datetime""}, ""meetingUrl"": ""url"", ""meetingPassword"": ""password""}",Bearer Token,Student,"201: Created, 400: Class full/not started, 401: Unauthorized, 403: Not enrolled, 404: Live class not found",Create participant record and return meeting info
Live Classes,/api/live-classes/:id/leave,POST,Leave live class,"{""attendanceDuration"": ""int""}","{""success"": true, ""message"": ""Left live class successfully""}",Bearer Token,Student,"200: Success, 401: Unauthorized, 404: Participation not found",Update attendance duration

Orders,/api/orders,GET,Get user orders,Query: ?status=1&limit=20&offset=0,"{""orders"": [{""id"": 1, ""orderCode"": ""ORD-2024-001"", ""totalAmount"": 299000, ""discountAmount"": 29900, ""taxAmount"": 0, ""status"": 1, ""paymentMethod"": ""vnpay"", ""paymentGateway"": ""vnpay"", ""paidAt"": ""datetime"", ""items"": [{""id"": 1, ""itemType"": ""Course"", ""itemName"": ""Course Title"", ""price"": 299000}], ""createdAt"": ""datetime""}], ""total"": 5, ""hasMore"": false}",Bearer Token,Student,"200: Success, 401: Unauthorized",Show user's orders only
Orders,/api/orders/:id,GET,Get order details,None,"{""id"": 1, ""orderCode"": ""ORD-2024-001"", ""totalAmount"": 299000, ""discountAmount"": 29900, ""taxAmount"": 0, ""status"": 1, ""paymentMethod"": ""vnpay"", ""paymentGateway"": ""vnpay"", ""transactionId"": ""TXN123"", ""paidAt"": ""datetime"", ""coupon"": {""code"": ""SAVE10"", ""discountValue"": 10}, ""items"": [{""id"": 1, ""itemId"": 1, ""itemType"": ""Course"", ""itemName"": ""Course Title"", ""price"": 299000}], ""billingAddress"": {}, ""createdAt"": ""datetime""}",Bearer Token,Student,"200: Success, 401: Unauthorized, 403: Not your order, 404: Order not found",Include full order details
Orders,/api/orders,POST,Create new order,"{""items"": [{""itemId"": 1, ""itemType"": ""Course""}], ""couponCode"": ""SAVE10"", ""paymentMethod"": ""vnpay"", ""billingAddress"": {}}","{""success"": true, ""order"": {""id"": 1, ""orderCode"": ""ORD-2024-001"", ""totalAmount"": 269100, ""paymentUrl"": ""https://payment-gateway.com/pay/xxx""}}",Bearer Token,Student,"201: Created, 400: Invalid items/coupon, 401: Unauthorized",Calculate total with discounts and generate payment URL
Orders,/api/orders/:id/cancel,PUT,Cancel order,None,"{""success"": true, ""message"": ""Order cancelled successfully""}",Bearer Token,Student,"200: Success, 400: Cannot cancel, 401: Unauthorized, 403: Not your order, 404: Order not found",Only unpaid orders can be cancelled
Orders,/api/orders/:id/payment-callback,POST,Handle payment callback,"{""transactionId"": ""string"", ""status"": ""string"", ""signature"": ""string""}","{""success"": true, ""order"": {""id"": 1, ""status"": 2, ""paidAt"": ""datetime""}}",None,None,"200: Success, 400: Invalid signature, 404: Order not found",Verify payment and update order status

Cart,/api/cart,GET,Get user's cart items,None,"{""cartItems"": [{""id"": 1, ""itemId"": 1, ""itemType"": 1, ""item"": {""id"": 1, ""title"": ""Course Title"", ""price"": 299000, ""thumbnail"": ""url""}, ""addedAt"": ""datetime""}], ""totalItems"": 2, ""totalAmount"": 598000}",Bearer Token,Student,"200: Success, 401: Unauthorized",Calculate total amount
Cart,/api/cart,POST,Add item to cart,"{""itemId"": ""int"", ""itemType"": ""int""}","{""success"": true, ""cartItem"": {""id"": 1, ""itemId"": 1, ""itemType"": 1}}",Bearer Token,Student,"201: Created, 400: Already in cart, 401: Unauthorized, 404: Item not found",Check if item exists and not already owned
Cart,/api/cart/:id,DELETE,Remove item from cart,None,"{""success"": true, ""message"": ""Item removed from cart""}",Bearer Token,Student,"200: Success, 401: Unauthorized, 404: Cart item not found",Only user's own cart items
Cart,/api/cart/clear,DELETE,Clear all cart items,None,"{""success"": true, ""message"": ""Cart cleared successfully""}",Bearer Token,Student,"200: Success, 401: Unauthorized",Remove all items from user's cart

Categories,/api/categories,GET,Get all categories,Query: ?parentId=1&includeInactive=false,"{""categories"": [{""id"": 1, ""name"": ""Mathematics"", ""description"": ""Math courses and books"", ""parentId"": null, ""icon"": ""math-icon"", ""isActive"": true, ""courseCount"": 50, ""bookCount"": 25, ""children"": [{""id"": 2, ""name"": ""Algebra"", ""parentId"": 1}]}]}",None,None,"200: Success, 400: Invalid parameters",Include hierarchical structure and counts
Categories,/api/categories/:id,GET,Get category details,None,"{""id"": 1, ""name"": ""Mathematics"", ""description"": ""Math courses and books"", ""parentId"": null, ""icon"": ""math-icon"", ""isActive"": true, ""courseCount"": 50, ""bookCount"": 25, ""path"": [""Mathematics""], ""children"": [], ""courses"": [], ""books"": []}",None,None,"200: Success, 404: Category not found",Include related courses and books
Categories,/api/categories,POST,Create new category,"{""name"": ""string"", ""description"": ""string"", ""parentId"": ""int"", ""icon"": ""string""}","{""success"": true, ""category"": {""id"": 1, ""name"": ""Category Name""}}",Bearer Token,Admin,"201: Created, 400: Invalid data, 401: Unauthorized, 403: Forbidden",Admin only
Categories,/api/categories/:id,PUT,Update category,"{""name"": ""string"", ""description"": ""string"", ""parentId"": ""int"", ""icon"": ""string"", ""isActive"": ""boolean""}","{""success"": true, ""category"": {""updated_category_data""}}",Bearer Token,Admin,"200: Success, 400: Invalid data, 401: Unauthorized, 403: Forbidden, 404: Category not found",Admin only
